area_size;sunlight_need;environment_type;climate_type;fertilizer_frequency;pesticide_frequency;has_pet;has_child;suggested_plant;user_feedback;id;watering_frequency
Small;Bright indirect light;Indoor;All seasons;Never needed;Monthly;No;No;Laelia Orchid;0;246;Every 2-3 days
Large;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Lamb'S Ear;1;247;Weekly
Mini;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Lantana;0;248;Bi-weekly
Large;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Larkspur;1;249;Weekly
Medium;6+ hours;Outdoor;Summer;1-2 times a year;Never needed;No;No;Lavender;1;250;Weekly
Large;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Lavender (English);1;251;Bi-weekly
Mini;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Lavender (French);0;252;Bi-weekly
Small;1-2 hours daily;Semi-outdoor;Spring;Monthly;Never needed;No;No;Lemon Balm;1;253;Weekly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Lemon Grass;1;254;Monthly
Large;6+ hours;Semi-outdoor;Spring;Monthly;Monthly;No;No;Lemon Tree;1;255;Every 2-3 days
Mini;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Lemongrass;1;256;Weekly
Mini;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Liatris;0;257;Bi-weekly
Small;1-2 hours daily;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Ligustrum;1;258;Daily
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Lilac;1;259;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Lilac Bush;1;260;Monthly
Large;1-2 hours daily;Indoor;Spring;Monthly;Monthly;Yes;Yes;Lilac Tree;1;261;Weekly
Small;1-2 hours daily;Indoor;Winter;Monthly;Never needed;Yes;Yes;Lily Of The Valley;1;262;Monthly
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Lipstick Plant;0;263;Every 2-3 days
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Lipstick Plant;1;264;Every 2-3 days
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Litchi;1;265;Bi-weekly
Mini;1-2 hours daily;Indoor;Winter;Monthly;Monthly;Yes;Yes;Lobelia;1;266;Monthly
Large;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Lotus;0;267;Every 2-3 days
Mini;Bright indirect light;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Lotus Bamboo;1;268;Weekly
Small;Can live in shade;Indoor;All seasons;1-2 times a year;Never needed;Yes;Yes;Lucky Bamboo;1;269;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Luffa;1;270;Bi-weekly
Medium;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Lupine;1;271;Weekly
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Lychee;1;272;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Magnolia;1;273;Bi-weekly
Small;Bright indirect light;Indoor;Spring;Monthly;Never needed;No;No;Maidenhair Fern;0;274;Daily
Small;Bright indirect light;Indoor;Spring;Monthly;Never needed;No;No;Maidenhair Fern;1;275;Daily
Large;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;No;No;Majesty Palm;1;276;Every 2-3 days
Large;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;No;No;Majesty Palm;0;277;Every 2-3 days
Large;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Mallow;1;278;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Malva (Mallow);1;279;Bi-weekly
Small;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Mandevilla;0;280;Bi-weekly
Mini;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Mango;0;281;Bi-weekly
Large;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Maranta (Prayer Plant);1;282;Monthly
Small;6+ hours;Outdoor;Summer;Monthly;1-2 times a year;No;No;Marigold;1;283;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Marigold (African);1;284;Monthly
Large;6+ hours;Indoor;Winter;Never needed;Never needed;No;No;Marjoram;1;285;Bi-weekly
Small;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Mayapple;1;286;Monthly
Small;6+ hours;Indoor;All seasons;Never needed;Never needed;No;No;Mimosa;1;287;Monthly
Small;1-2 hours daily;Semi-outdoor;Spring;Monthly;Never needed;No;No;Mint;1;288;Daily
Small;Bright indirect light;Indoor;Spring;Monthly;Monthly;Yes;Yes;Money Plant;1;289;Daily
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Money Tree;1;290;Daily
Medium;Bright indirect light;Indoor;Winter;Never needed;Monthly;No;No;Monstera;1;291;Weekly
Large;Bright indirect light;Indoor;Summer;Monthly;1-2 times a year;No;No;Monstera Deliciosa;1;292;Weekly
Medium;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Moringa;1;293;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Morning Glory;1;294;Weekly
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Mulberry;0;295;Bi-weekly
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Mustard;1;296;Bi-weekly
Large;1-2 hours daily;Indoor;Spring;Monthly;Monthly;Yes;Yes;Nandina (Heavenly Bamboo);0;297;Bi-weekly
Mini;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Nasturtium;1;298;Weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Nectarine;1;299;Bi-weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Neem Tree;1;300;Bi-weekly
Medium;Bright indirect light;Indoor;Summer;Monthly;Monthly;Yes;Yes;Neoregalia (Bromeliad);1;301;Monthly
Mini;Can live in shade;Indoor;All seasons;Monthly;Never needed;No;No;Nerve Plant (Fittonia);1;302;Weekly
Medium;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Nettle;1;303;Bi-weekly
Medium;Bright indirect light;Indoor;Winter;Monthly;Never needed;No;No;Norfolk Island Pine;1;304;Monthly
Medium;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Nutmeg;1;305;Monthly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Olive Tree;1;306;Bi-weekly
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Orchid (Phalaenopsis);1;307;Daily
Large;Bright indirect light;Indoor;Summer;Never needed;Monthly;No;No;Orchid (Vanilla);1;308;Bi-weekly
Small;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Orchid Cactus;1;309;Weekly
Medium;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Orchids;1;310;Weekly
Small;6+ hours;Semi-outdoor;Summer;Monthly;Never needed;No;No;Oregano;1;311;Daily
Large;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Pansy;1;312;Every 2-3 days
Medium;Can live in shade;Indoor;All seasons;Monthly;Never needed;No;No;Parlor Palm;1;313;Bi-weekly
Small;1-2 hours daily;Semi-outdoor;Spring;Monthly;Never needed;No;No;Parsley;1;314;Every 2-3 days
Medium;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Passionflower;1;315;Bi-weekly
Medium;Can live in shade;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Peace Lily;1;316;Daily
Medium;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Peepal Tree;0;317;Monthly
Small;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Peepal Tree (Bodhi Tree);1;318;Bi-weekly
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Peony;1;319;Weekly
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Peperomia;1;320;Weekly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Pepper Plant;1;321;Bi-weekly
Mini;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Periwinkle;1;322;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Petunia;1;323;Daily
Small;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Petunia (Trailing);1;324;Bi-weekly
Medium;Can live in shade;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Philodendron;0;325;Monthly
Medium;Can live in shade;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Philodendron;1;326;Monthly
Small;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Phlox;1;327;Bi-weekly
Medium;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Pilea;1;328;Daily
Large;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Pine;1;329;Daily
Large;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Pineapple;1;330;Weekly
Medium;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Pineapple Sage;1;331;Monthly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Plumeria;1;332;Bi-weekly
Medium;Bright indirect light;Indoor;Winter;Monthly;Never needed;Yes;Yes;Poinsettia;0;333;Every 2-3 days
Medium;Bright indirect light;Indoor;Winter;Monthly;Never needed;Yes;Yes;Poinsettia;1;334;Every 2-3 days
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;Yes;No;Polka Dot Begonia;0;335;Every 2-3 days
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;Yes;No;Polka Dot Begonia;1;336;Every 2-3 days
Small;Bright indirect light;Indoor;Spring;Monthly;Never needed;No;No;Polka Dot Plant;1;337;Bi-weekly
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Pomegranate;1;338;Bi-weekly
Medium;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;No;No;Ponytail Palm;0;339;Daily
Medium;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;No;No;Ponytail Palm;1;340;Daily
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Poppy;1;341;Bi-weekly
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Portulaca;1;342;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Potato Vine;1;343;Bi-weekly
Medium;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Pothos;1;344;Bi-weekly
Small;Can live in shade;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Pothos (Devil's Ivy);1;345;Daily
Small;Can live in shade;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Pothos (Devil's Ivy);0;346;Daily
Medium;Bright indirect light;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Pothos (Golden Pathos);1;347;Daily
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Prayer Pepper;1;348;Every 2-3 days
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Prayer Plant (Maranta);1;349;Monthly
Medium;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Protea;1;350;Bi-weekly
Mini;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Purslane;1;351;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Quaking Aspen;1;352;Monthly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Quince;1;353;Bi-weekly
Small;6+ hours;Indoor;Winter;Never needed;1-2 times a year;No;No;Quinoa;0;354;Bi-weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Radish;0;355;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Raspberry;1;356;Bi-weekly
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Rattlesnake Plant;1;357;Daily
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Red Hot Poker (Kniphofia);0;358;Bi-weekly
Small;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Red Maple;1;359;Monthly
Small;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Red-Leafed Maple;1;360;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Redwood;1;361;Monthly
Small;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;Yes;No;Rex Begonia;1;362;Daily
Large;1-2 hours daily;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Rhododendron;1;363;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;River Birch;1;364;Monthly
Medium;6+ hours;Outdoor;Spring;Monthly;Monthly;No;Yes;Rose;1;365;Monthly
Medium;6+ hours;Outdoor;Spring;Monthly;Monthly;No;Yes;Rose;0;366;Monthly
Small;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Rose Of Sharon;1;367;Monthly
Small;6+ hours;Semi-outdoor;Summer;Monthly;Never needed;No;No;Rosemary;1;368;Every 2-3 days
Mini;1-2 hours daily;Indoor;Summer;Never needed;Never needed;No;No;Rosemary Mint;0;369;Bi-weekly
Medium;Bright indirect light;Semi-outdoor;Spring;Monthly;1-2 times a year;Yes;Yes;Rubber Plant;1;370;Weekly
Medium;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Rudbeckia;1;371;Weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Russian Sage;1;372;Bi-weekly
Small;6+ hours;Semi-outdoor;Summer;Monthly;Never needed;No;No;Sage;1;373;Weekly
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Sago Palm;0;374;Bi-weekly
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Salvia;1;375;Weekly
Medium;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Scabiosa (Pincushion Flower);0;376;Monthly
Large;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Schefflera;1;377;Daily
Small;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Scilla;1;378;Monthly
Medium;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Sea Holly;0;379;Bi-weekly
Large;1-2 hours daily;Indoor;Winter;Monthly;Never needed;Yes;Yes;Sedge;1;380;Bi-weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Sedum;1;381;Bi-weekly
Large;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Shasta Daisy;1;382;Weekly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Sheesham Tree;1;383;Bi-weekly
Mini;6+ hours;Indoor;Summer;Never needed;Never needed;No;No;Silene (Catchfly);0;384;Bi-weekly
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Silverbell Tree;1;385;Bi-weekly
Small;Bright indirect light;Indoor;Summer;Never needed;1-2 times a year;No;No;Snake Plant;1;386;Bi-weekly
Medium;Can live in shade;Indoor;All seasons;1-2 times a year;Never needed;Yes;No;Snake Plant (Sansevieria);1;387;Every 2-3 days
Small;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Snapdragon;1;388;Weekly
Mini;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Snowdrop;1;389;Monthly
Large;6+ hours;Indoor;Winter;Never needed;1-2 times a year;No;No;Soursop;0;390;Monthly
Large;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Speedwell;1;391;Weekly
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Spider Flower;1;392;Bi-weekly
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Spider Plant;1;393;Bi-weekly
Large;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Split-Leaf Philodendron;1;394;Bi-weekly
Medium;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;No;No;Staghorn Fern;1;395;Daily
Large;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Star Jasmine;1;396;Bi-weekly
Large;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Stevia;1;397;Monthly
Small;6+ hours;Outdoor;Spring;Monthly;1-2 times a year;No;No;Strawberry;1;398;Bi-weekly
Small;6+ hours;Outdoor;Spring;Monthly;1-2 times a year;No;No;Strawberry;0;399;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Strawberry Plant;1;400;Bi-weekly
Small;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;No;No;String of Bananas;0;401;Bi-weekly
Small;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;No;No;String of Dolphins;0;402;Weekly
Small;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;No;No;String of Dolphins;1;403;Weekly
Small;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;No;No;String of Hearts;1;404;Every 2-3 days
Small;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;No;No;String of Turtles;1;405;Daily
Small;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;No;No;String of Turtles;0;406;Daily
Small;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Succulent;1;407;Bi-weekly
Mini;1-2 hours daily;Indoor;All seasons;Never needed;Never needed;No;No;Succulent Mix;1;408;Daily
Small;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Succulents (General);1;409;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Sugarcane;1;410;Bi-weekly
Large;6+ hours;Outdoor;Summer;Monthly;1-2 times a year;No;No;Sunflower;1;411;Daily
Small;Bright indirect light;Indoor;Spring;Monthly;Monthly;Yes;Yes;Swedish Ivy;1;412;Weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Sweet Alyssum;1;413;Weekly
Medium;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Sweet Basil;1;414;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Sweet Pea;1;415;Weekly
Small;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Sweet Potato Vine;1;416;Bi-weekly
Large;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Sweet William;0;417;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Never needed;Never needed;No;No;Tansy;1;418;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Taro;1;419;Monthly
Medium;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Tarragon;1;420;Weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Teak;0;421;Bi-weekly
Medium;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Themeda (Kangaroo Grass);1;422;Monthly
Mini;6+ hours;Semi-outdoor;Summer;Monthly;Never needed;No;No;Thyme;1;423;Daily
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Tiger Lily;1;424;Bi-weekly
Small;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Toad Lily;1;425;Every 2-3 days
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Tobacco Plant;0;426;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Tomato;0;427;Bi-weekly
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;Yes;No;Tradescantia;1;428;Daily
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Triostar Stromanthe;1;429;Daily
Large;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Tuberose;1;430;Monthly
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Tuberose (Polianthes);1;431;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Tulip;1;432;Bi-weekly
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Tulsi (Holy Basil);1;433;Every 2-3 days
Large;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;Yes;No;Umbrella Tree;0;434;Daily
Small;6+ hours;Indoor;All seasons;Never needed;Never needed;No;No;Venus Fly Trap;1;435;Daily
Small;6+ hours;Indoor;All seasons;Never needed;Never needed;No;No;Venus Fly Trap;0;436;Daily
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Verbena;1;437;Weekly
Large;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Veronica;1;438;Weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Viola;1;439;Every 2-3 days
Mini;Bright indirect light;Indoor;Summer;Monthly;Monthly;Yes;Yes;Violet;0;440;Monthly
Large;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Wandering Jew;1;441;Weekly
Small;6+ hours;Indoor;All seasons;Never needed;1-2 times a year;No;No;Water Lily;0;442;Monthly
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Watermelon Peperomia;0;443;Weekly
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Watermelon Peperomia;1;444;Weekly
Mini;6+ hours;Indoor;Spring;Never needed;1-2 times a year;No;No;Wattle;0;445;Daily
Small;1-2 hours daily;Semi-outdoor;Spring;Monthly;1-2 times a year;Yes;No;Wax Begonia;1;446;Every 2-3 days
Medium;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Wisteria;1;447;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Yarrow;1;448;Bi-weekly
Small;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Yew;1;449;Daily
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Yucca;1;450;Monthly
Small;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Zea Mays (Corn);1;451;Every 2-3 days
Small;1-2 hours daily;Indoor;Winter;Monthly;Monthly;Yes;Yes;Zebra Grass;1;452;Every 2-3 days
Mini;Bright indirect light;Indoor;All seasons;Never needed;Never needed;No;No;Zebra Plant;1;453;Every 2-3 days
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Zephyranthes (Rain Lily);1;454;Monthly
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Zinnia;1;455;Weekly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Zoysia Grass;1;456;Weekly
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Zucchini;1;457;Monthly
Small;1-2 hours daily;Semi-outdoor;All seasons;Monthly;Monthly;Yes;Yes;Cast Iron Plant;1;1175;Every 2-3 days
Small;Bright indirect light;Semi-outdoor;Summer;1-2 times a year;Monthly;Yes;No;Basil;1;1176;Every 2-3 days
Small;1-2 hours daily;Outdoor;All seasons;Monthly;Monthly;Yes;Yes;Cast Iron Plant;1;1177;Daily
Small;1-2 hours daily;Semi-outdoor;All seasons;Monthly;Monthly;Yes;Yes;Baby Tears;1;1178;Daily
Medium;Bright indirect light;Semi-outdoor;All seasons;Never needed;Monthly;Yes;No;Air Plant (Tillandsia);1;1179;Every 2-3 days
Large;6+ hours;Semi-outdoor;Winter;1-2 times a year;Monthly;No;No;Basil;1;1180;Monthly
Large;Can live in shade;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Peace Lily;1;1181;Daily
Large;Bright indirect light;Outdoor;All seasons;Monthly;Monthly;Yes;Yes;Snake Plant (Sansevieria);1;1182;Daily
Small;Bright indirect light;Outdoor;All seasons;Never needed;Never needed;No;Yes;Air Plant (Tillandsia);1;1183;Daily
Small;1-2 hours daily;Indoor;Summer;1-2 times a year;Monthly;Yes;Yes;Basil;1;1184;Daily
Medium;1-2 hours daily;Outdoor;All seasons;1-2 times a year;Monthly;Yes;Yes;Basil;0;1185;Daily
Small;1-2 hours daily;Semi-outdoor;Winter;Monthly;Monthly;Yes;Yes;Baby Tears;1;1186;Daily
Mini;Can live in shade;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Air Plant (Tillandsia);1;1187;Daily
Small;1-2 hours daily;Outdoor;All seasons;Monthly;Monthly;Yes;Yes;Air Plant (Tillandsia);1;1188;Every 2-3 days
Small;1-2 hours daily;Outdoor;Summer;1-2 times a year;Never needed;Yes;No;Tradescantia;1;1189;Monthly
Medium;Bright indirect light;Indoor;Spring;Never needed;Monthly;No;Yes;Haworthia;1;1190;Every 2-3 days
Large;6+ hours;Indoor;All seasons;Never needed;Monthly;Yes;Yes;Air Plant (Tillandsia);1;1191;Every 2-3 days
Mini;6+ hours;Indoor;All seasons;Never needed;Monthly;Yes;Yes;Baby Tears;1;1192;Every 2-3 days
Mini;6+ hours;Indoor;All seasons;Never needed;Monthly;Yes;Yes;Baby Tears;1;1193;Every 2-3 days
Mini;Can live in shade;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Cast Iron Plant;1;1194;Daily
Small;1-2 hours daily;Outdoor;Summer;1-2 times a year;Never needed;Yes;No;Basil;1;1195;Monthly
Medium;Bright indirect light;Indoor;Spring;Never needed;Monthly;No;Yes;Parlor Palm;1;1196;Every 2-3 days
Medium;Bright indirect light;Indoor;Spring;Never needed;Monthly;No;Yes;Parlor Palm;1;1197;Every 2-3 days
Mini;6+ hours;Indoor;All seasons;Never needed;Monthly;Yes;No;Baby Tears;1;1198;Every 2-3 days
Medium;1-2 hours daily;Semi-outdoor;All seasons;1-2 times a year;Monthly;No;Yes;Cast Iron Plant;1;1199;Weekly
Mini;Can live in shade;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Peace Lily;1;1200;Daily
Large;Can live in shade;Indoor;All seasons;1-2 times a year;Monthly;No;No;Cast Iron Plant;1;1201;Daily
Medium;Can live in shade;Indoor;Summer;1-2 times a year;Monthly;No;No;Basil;1;1202;Weekly
Mini;Can live in shade;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Peace Lily;0;1203;Daily
Small;1-2 hours daily;Outdoor;All seasons;Monthly;Monthly;Yes;Yes;Snake Plant (Sansevieria);1;1204;Weekly
Medium;1-2 hours daily;Outdoor;All seasons;1-2 times a year;1-2 times a year;Yes;Yes;Basil;1;1205;Weekly
Small;1-2 hours daily;Indoor;Spring;1-2 times a year;1-2 times a year;Yes;Yes;Lucky Bamboo;1;1206;Monthly
Large;Bright indirect light;Outdoor;Spring;Never needed;1-2 times a year;Yes;No;Boston Fern;1;1207;Bi-weekly
Small;Bright indirect light;Outdoor;All seasons;Never needed;1-2 times a year;No;Yes;Air Plant (Tillandsia);1;1208;Daily
Large;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Watermelon Peperomia;0;1209;Bi-weekly
